학교,과목,학년(학년군),성취기준 코드,성취기준 내용
중학교,사회,1~3학년,[9사(지리)01-01],세계 여러 지역의 특성을 해당 지역의 위치와 자연⋅인문환경을 고려하여 추론한다.
중학교,사회,1~3학년,[9사(지리)01-02],다양한 스케일에서 지역이 서로 연계되어 있음을 공간적 상호 작용의 사례를 통해 파악한다.
중학교,사회,1~3학년,[9사(지리)01-03],세계의 변화가 지역에 영향을 미치고 지역의 변화가 세계에 영향을 미치는 사례를 조사한다.
중학교,사회,1~3학년,[9사(지리)02-01],다양한 지리 정보와 매체를 활용하여 아시아의 국가와 주요 도시의 위치를 파악하고 자연환경의 특성을 지도로 표현한다.
중학교,사회,1~3학년,[9사(지리)02-02],"종교와 관련된 아시아의 다양한 문화경관과 생활양식을 파악하고, 세계시민으로서 문화 다양성에 대한 이해와 수용성을 높인다."
중학교,사회,1~3학년,[9사(지리)02-03],아시아의 인구 특징을 파악하고 지역별 인구 구조 변화를 비교하여 지역 발전의 가능성 및 변화 모습을 추론한다.
중학교,사회,1~3학년,[9사(지리)02-04],"글로컬 관점에서 아시아의 산업 특징과 변화를 파악하고, 이것이 우리나라 산업에 미치는 영향을 탐색한다."
중학교,사회,1~3학년,[9사(지리)03-01],다양한 지리 정보와 매체를 활용하여 유럽의 국가와 주요 도시의 위치를 파악하고 자연환경의 특성을 지도로 표현한다.
중학교,사회,1~3학년,[9사(지리)03-02],"다양한 유형의 유럽 도시를 탐색하고, 기후위기에 대응하여 지속가능한 도시를 만들기 위한 노력을 조사한다."
중학교,사회,1~3학년,[9사(지리)03-03],지역 간 역학관계에 따른 유럽의 통합과 분리의 움직임이 유럽연합의 변화와 주민 생활에 미치는 영향을 탐색한다.
중학교,사회,1~3학년,[9사(지리)04-01],다양한 지리 정보와 매체를 활용하여 아프리카의 국가와 주요 도시의 위치를 파악하고 자연환경의 특성을 지도로 표현한다.
중학교,사회,1~3학년,[9사(지리)04-02],"아프리카의 지리적 특성에 기반한 다양한 문화와 지역 잠재력을 탐구하고, 아프리카에 대한 자신의 인식을 성찰한다."
중학교,사회,1~3학년,[9사(지리)04-03],"지속가능한 발전을 위한 아프리카 각 지역의 노력과 세계 다양한 주체들의 협력 사례를 조사하고, 세계시민으로서 우리가 참여할 수 있는 방안을 모색한다."
중학교,사회,1~3학년,[9사(지리)05-01],다양한 지리 정보와 매체를 활용하여 아메리카의 국가와 주요 도시의 위치를 파악하고 자연환경의 특성을 지도로 표현한다.
중학교,사회,1~3학년,[9사(지리)05-02],"다양한 민족(인종)으로 구성된 아메리카의 인구 특징을 살펴보고, 사례를 들어 아메리카의 문화 혼종성을 설명한다."
중학교,사회,1~3학년,[9사(지리)05-03],"초국적 기업의 글로벌 생산체제에 대한 이해를 바탕으로, 초국적 기업의 아메리카 지역 내 입지와 해외 이전의 이유, 그에 따른 해당 지역의 변화를 분석한다."
중학교,사회,1~3학년,[9사(지리)06-01],"다양한 지리 정보와 매체를 활용하여 오세아니아의 국가와 주요 도시의 위치, 자연환경의 특성을 파악하고, 자원 수출을 중심으로 세계 다른 지역과의 상호연계성을 탐색한다."
중학교,사회,1~3학년,[9사(지리)06-02],태평양 지역이 겪고 있는 환경 문제를 조사하고 그 해결에 참여할 수 있는 방안을 제안한다.
중학교,사회,1~3학년,[9사(지리)06-03],"극지방의 지리적 중요성과 지역 개발을 둘러싼 다양한 이해관계를 살펴보고, 이에 대한 자신과 상대방의 의견을 비판적으로 검토한다."
중학교,사회,1~3학년,[9사(지리)07-01],"우리 국토의 위치와 영역에 대한 이해를 바탕으로 세계 속에서 우리나라의 위치를 지정학, 지경학적 측면에서 탐색한다."
중학교,사회,1~3학년,[9사(지리)07-02],"우리나라 행정구역과 주요 도시의 위치를 파악하고, 자신이 살고 있는 곳의 장소성과 장소감을 표현한다."
중학교,사회,1~3학년,[9사(지리)07-03],다양한 지리 정보와 매체를 활용하여 우리 지역의 문제를 선정하고 지리적으로 시각화한다.
중학교,사회,1~3학년,[9사(지리)08-01],"우리나라 주요 산지⋅하천⋅해안 지형의 위치와 특성을 파악하고, 매력적인 지형 경관을 탐색하여 우리 국토의 아름다움을 느낀다."
중학교,사회,1~3학년,[9사(지리)08-02],"우리나라의 계절별, 지역별 기후 특성 및 변화 양상을 파악하고, 기후변화에 대한 지역별 대응 노력을 조사한다."
중학교,사회,1~3학년,[9사(지리)08-03],"우리나라 자연재해의 지리적 특성과 피해 최소화를 위한 노력을 파악하고, 일상생활 속 다양한 상황에서 자연재해 발생 시 자신의 대처 방안을 탐색한다."
중학교,사회,1~3학년,[9사(지리)09-01],다양한 지리 정보와 매체를 활용하여 중부 지역의 지리적 특성 및 매력적인 여행 장소들을 탐색한다.
중학교,사회,1~3학년,[9사(지리)09-02],"수도권의 공간 구조를 파악하고, 인구⋅문화⋅경제적 측면을 중심으로 수도권의 변화 양상을 탐색한다."
중학교,사회,1~3학년,[9사(지리)09-03],"강원⋅충청 지역의 변화를 교통 발달과 수도권과의 관계를 중심으로 파악하고, 강원⋅충청 지역의 산업 변화와 지역경제 활성화를 위한 노력을 조사한다."
중학교,사회,1~3학년,[9사(지리)09-04],"수도권과 비수도권 간의 지역 불균형 실태를 지도로 표현하고, 지역 불균형을 완화하기 위한 방안들을 제안한다."
중학교,사회,1~3학년,[9사(지리)10-01],다양한 지리 정보와 매체를 활용하여 남부 지역의 지리적 특성 및 매력적인 여행 장소들을 탐색한다.
중학교,사회,1~3학년,[9사(지리)10-02],"글로벌 경제와 우리나라 산업에서 영⋅호남 공업 지역의 위상을 파악하고, 영⋅호남 지역의 산업 변화와 당면 과제를 조사한다."
중학교,사회,1~3학년,[9사(지리)10-03],제주도의 지역 변화와 이를 둘러싼 다양한 가치를 살펴보고 이에 대한 자신과 상대방의 의견을 비판적으로 검토한다.
중학교,사회,1~3학년,[9사(지리)11-01],다양한 지리 정보와 매체를 활용하여 북한의 자연환경과 인문환경의 특징을 탐색한다.
중학교,사회,1~3학년,[9사(지리)11-02],"분단이 우리의 일상생활에 미친 영향을 살펴보고, 분리와 연결의 공간으로서 접경지역의 다양한 모습을 세계 여러 지역의 사례를 통해 비교한다."
중학교,사회,1~3학년,[9사(지리)11-03],"세계시민의 관점에서 한반도 평화의 중요성을 논의하고, 한반도 평화와 통일 환경 속에서 우리의 삶과 국토의 미래를 구상한다."
중학교,사회,1~3학년,[9사(지리)12-01],"우리나라 주요 식량 자원 및 에너지 자원의 소비 현황과 수입국 현황을 분석하여 이와 관련된 문제를 파악하고, 자원의 지속가능한 확보 방안을 모색한다."
중학교,사회,1~3학년,[9사(지리)12-02],지역 개발과 환경 보존을 둘러싼 글로컬 환경 이슈에 관심을 가지고 자신의 웰빙 및 공동체의 지속가능한 발전을 위해 참여하고 실천한다.
중학교,사회,1~3학년,[9사(지리)12-03],"더 나은 지역을 만들어 가는 사람들의 노력을 국내외 사례를 통해 살펴보고, 자신이 사는 지역의 문제를 해결하기 위한 방안을 모색하고 이를 실천한다."
중학교,사회,1~3학년,[9사(일사)01-01],"사회화의 의미를 일상생활의 사례를 들어 설명하고, 사회화 과정에서 형성되는 자아 정체성에 대해 성찰한다."
중학교,사회,1~3학년,[9사(일사)01-02],"사회적 지위와 역할의 의미를 설명하고, 일상생활에서 나타나는 역할 갈등 사례와 대응 방안을 탐색한다."
중학교,사회,1~3학년,[9사(일사)01-03],"우리 사회에 나타나는 다양한 갈등과 차별의 사례를 조사하고, 이에 대처하는 시민의 자질에 대해 토의한다."
중학교,사회,1~3학년,[9사(일사)02-01],"일상생활에서 접하는 문화의 사례를 탐색하고, 이를 바탕으로 문화의 의미와 특징을 도출한다."
중학교,사회,1~3학년,[9사(일사)02-02],"우리 주변에서 활용되는 미디어들을 탐색하고, 미디어를 통해 경험하는 다양한 문화와 정보들을 비판적으로 검토한다."
중학교,사회,1~3학년,[9사(일사)02-03],"여러 집단에서 나타나는 다양한 문화 사례들을 조사하고, 문화를 이해하는 바람직한 태도에 대하여 토의한다."
중학교,사회,1~3학년,[9사(일사)03-01],"공동체 생활에 필요한 정치의 역할을 탐색하고, 다양한 정치 사례를 통해 민주주의의 의미와 필요성을 도출한다."
중학교,사회,1~3학년,[9사(일사)03-02],"민주주의의 발전 과정을 검토하고, 이를 토대로 민주주의의 이념과 기본 원리를 도출한다."
중학교,사회,1~3학년,[9사(일사)03-03],"현대 민주주의의 특징과 과제를 검토하고, 우리나라 민주주의의 발전을 위한 제도적 방안과 시민의 역할에 대해 토의한다."
중학교,사회,1~3학년,[9사(일사)04-01],"선거의 기능과 기본 원칙을 검토하고, 선거 과정에서 유권자와 정당이 수행하는 활동을 조사한다."
중학교,사회,1~3학년,[9사(일사)04-02],"정치활동에 참여하는 다양한 정치 주체의 역할을 탐색하고, 정치과정의 의미를 설명한다."
중학교,사회,1~3학년,[9사(일사)04-03],"민주주의의 발전을 위한 지방 자치의 중요성을 설명하고, 지역사회의 문제를 해결하기 위한 시민 참여 활동을 계획한다."
중학교,사회,1~3학년,[9사(일사)05-01],"법의 의미와 특징을 설명하고, 일상생활에서 접하는 법의 사례를 통해 법의 목적을 도출한다."
중학교,사회,1~3학년,[9사(일사)05-02],"우리의 일상을 규율하는 다양한 법을 탐색하고, 국내외 사례를 통해 사회법이 필요한 이유에 대해 토의한다."
중학교,사회,1~3학년,[9사(일사)05-03],"재판의 의미와 종류를 설명하고, 공정한 재판의 중요성에 대해 토의한다."
중학교,사회,1~3학년,[9사(일사)06-01],"일상생활에서 인권이 침해되는 사례를 조사하고, 우리 헌법에 보장된 기본권의 종류를 탐색한다."
중학교,사회,1~3학년,[9사(일사)06-02],"기본권 제한의 요건과 한계가 헌법에 명시된 이유를 토의하고, 기본권 침해 시 구제 방법을 조사한다."
중학교,사회,1~3학년,[9사(일사)06-03],"근로자에게 보장되는 권리를 조사하고, 이러한 권리의 침해에 대처하는 국가와 시민의 노력에 대해 토의한다."
중학교,사회,1~3학년,[9사(일사)07-01],"우리나라의 정부 형태를 설명하고, 대통령과 행정부의 역할을 탐색한다."
중학교,사회,1~3학년,[9사(일사)07-02],"국회에서 법률이 만들어지는 사례를 탐색하고, 입법기관으로서 국회의 역할을 조사한다."
중학교,사회,1~3학년,[9사(일사)07-03],"사법기관으로서 법원의 역할을 검토하고, 헌법재판소의 성격에 대해 토의한다."
중학교,사회,1~3학년,[9사(일사)08-01],"경제생활에서 합리적 선택의 필요성에 대해 검토하고, 비용과 편익을 고려한 합리적 선택 방안을 탐색한다."
중학교,사회,1~3학년,[9사(일사)08-02],"일생 동안 이루어지는 경제생활을 분석하고, 안정적인 금융 생활을 위한 자산 및 신용 관리 방안을 계획한다."
중학교,사회,1~3학년,[9사(일사)08-03],"시장경제에서 기업의 역할과 사회적 책임을 설명하고, 우리 사회에 필요한 기업가 정신에 대해 토의한다."
중학교,사회,1~3학년,[9사(일사)09-01],"일상생활에서 접하는 다양한 시장의 사례를 조사하고, 이를 토대로 시장의 의미와 필요성을 설명한다."
중학교,사회,1~3학년,[9사(일사)09-02],"수요 법칙과 공급 법칙을 사례를 통해 도출하고, 이를 토대로 시장 가격이 결정되는 원리를 설명한다."
중학교,사회,1~3학년,[9사(일사)09-03],"시장경제에서 수요와 공급을 변화시키는 요인을 조사하고, 시장 가격의 변동에 대응하는 방안을 계획한다."
중학교,사회,1~3학년,[9사(일사)10-01],"우리나라의 경제 성장 전후 모습을 검토하고, 국내 총생산의 증가가 우리 생활에 미치는 영향에 대해 토의한다."
중학교,사회,1~3학년,[9사(일사)10-02],물가 변동과 실업의 사례를 탐색하고 물가 변동과 실업이 우리 생활에 미치는 영향을 제시한다.
중학교,사회,1~3학년,[9사(일사)10-03],"세계화 시대에 국제 거래가 이루어지는 사례를 탐색하고, 환율 변동이 우리 생활에 미치는 영향을 조사한다."
중학교,사회,1~3학년,[9사(일사)11-01],"국제 사회를 구성하는 여러 행위 주체의 활동을 조사하고, 이를 토대로 국제 사회의 특징을 도출한다."
중학교,사회,1~3학년,[9사(일사)11-02],"국제 사회의 다양한 분쟁에 대해 조사하고, 지역, 국가, 세계의 시민으로서 우리의 역할에 대해 토의한다."
중학교,사회,1~3학년,[9사(일사)11-03],"우리나라가 직면하고 있는 국제 문제에 대해 조사하고, 이러한 문제에 대응하기 위한 방안에 대해 토론한다."
중학교,사회,1~3학년,[9사(일사)12-01],"오늘날 우리 사회가 겪는 사회 변동에 대해 조사하고, 이러한 사회 변동이 우리 생활에 미치는 영향을 분석한다."
중학교,사회,1~3학년,[9사(일사)12-02],"오늘날의 주요한 사회문제를 조사하고, 이러한 사회문제가 우리 생활에 미치는 영향에 대해 토의한다."
중학교,사회,1~3학년,[9사(일사)12-03],"사회 변동과 사회문제에 대응하는 국내외의 사례들을 검토하고, 시민으로서 지녀야 할 태도와 실천 방안에 대해 토의한다."
중학교,역사,1~3학년,[9역01-01],"역사와 역사 탐구의 의미를 파악하고, 역사 학습의 목적을 다각도로 탐색한다."
중학교,역사,1~3학년,[9역01-02],다양한 자료와 사례를 통해 역사 탐구 방법을 익힌다.
중학교,역사,1~3학년,[9역02-01],"선사 문화 및 문명의 형성을 이해하고, 각 문명의 특징을 비교한다."
중학교,역사,1~3학년,[9역02-02],서아시아⋅지중해 세계에서 등장한 여러 정치체를 비교하고 종교 및 문화를 탐구한다.
중학교,역사,1~3학년,[9역02-03],"중국과 인도의 정치적 변화와 종교⋅사상 성립의 관계를 이해하고, 유라시아의 상호 교류를 탐색한다."
중학교,역사,1~3학년,[9역03-01],"수⋅당 시기 동아시아 국제 질서의 특징을 이해하고, 동아시아 문화를 탐구한다."
중학교,역사,1~3학년,[9역03-02],"인도, 서아시아, 지중해에서 진행된 정치적 변동 과정과 각 종교의 특징 및 영향을 파악한다."
중학교,역사,1~3학년,[9역03-03],"크리스트교 세계의 정치와 종교의 상관성을 이해하고, 이슬람 세계와 크리스트교 세계의 충돌 및 교류의 결과를 탐구한다."
중학교,역사,1~3학년,[9역04-01],송과 몽골 제국 시기 유라시아⋅인도양 교역권의 성장을 경제⋅문화 자료를 통해 탐구한다.
중학교,역사,1~3학년,[9역04-02],"명⋅청, 에도 막부, 무굴 제국의 정치⋅사회 변화를 비교한다."
중학교,역사,1~3학년,[9역04-03],오스만 제국의 성장과 유럽 사회의 근대적 변화를 조사한다.
중학교,역사,1~3학년,[9역05-01],"시민 혁명을 국민 국가 형성과 연결하여 파악하고, 역사적 의의와 한계를 탐구한다."
중학교,역사,1~3학년,[9역05-02],"서양의 산업화와 제국주의 정책을 이해하고, 사회와 생태환경에 미친 영향을 분석한다."
중학교,역사,1~3학년,[9역05-03],"제국주의 열강의 침략에 대한 아시아의 대응 및 국민 국가 건설 노력을 이해하고, 그 성과와 한계를 평가한다."
중학교,역사,1~3학년,[9역06-01],20세기 전반 세계 질서의 변화를 두 차례의 세계 대전을 중심으로 파악한다.
중학교,역사,1~3학년,[9역06-02],"세계 대전 중의 전쟁 범죄를 탐구하고, 인권 회복과 평화 실현을 위한 노력을 조사한다."
중학교,역사,1~3학년,[9역06-03],"아시아⋅아프리카 지역의 민족 운동을 이해하고, 그 특징을 비교한다."
중학교,역사,1~3학년,[9역07-01],"냉전의 전개와 제3 세계 등장의 상관관계를 이해하고, 냉전 이후 국제 질서의 변화를 분석한다."
중학교,역사,1~3학년,[9역07-02],20세기 후반 민주주의와 인권의 신장을 위한 노력에 관심을 갖는다.
중학교,역사,1~3학년,[9역07-03],"오늘날 세계화의 양상을 조사하고, 성과와 과제를 탐구한다."
중학교,역사,1~3학년,[9역08-01],고조선과 여러 나라의 형성 과정 및 사회 모습을 탐구한다.
중학교,역사,1~3학년,[9역08-02],삼국과 가야의 성장 과정을 파악한다.
중학교,역사,1~3학년,[9역08-03],삼국과 가야가 남긴 문화의 특징을 분석한다.
중학교,역사,1~3학년,[9역09-01],"삼국 통일의 과정을 동아시아 국제 정세의 맥락에서 이해하고, 통일신라와 발해 성립의 역사적 의의를 추론한다."
중학교,역사,1~3학년,[9역09-02],통일신라와 발해의 국가 체제 정비와 변동을 분석한다.
중학교,역사,1~3학년,[9역09-03],통일신라와 발해 문화의 특징을 파악한다.
중학교,역사,1~3학년,[9역10-01],후삼국 통일과 체제 정비 과정을 통해 고려 성립의 역사적 의미를 탐색한다.
중학교,역사,1~3학년,[9역10-02],고려의 정치적 변동을 파악하고 주변국과의 관계를 이해한다.
중학교,역사,1~3학년,[9역10-03],원 간섭기 고려 사회에 나타난 변화를 파악하고 개혁의 영향을 탐구한다.
중학교,역사,1~3학년,[9역10-04],고려의 문화유산과 대외 교류의 사례를 조사하여 그 특징을 파악한다.
중학교,역사,1~3학년,[9역11-01],조선 성립의 의의를 통치 체제의 특징을 통해 파악한다.
중학교,역사,1~3학년,[9역11-02],사림 세력의 성장이 성리학적 질서 확산에 끼친 영향을 추론한다.
중학교,역사,1~3학년,[9역11-03],왜란과 호란의 성격을 동아시아 국제 정세 속에서 분석한다.
중학교,역사,1~3학년,[9역12-01],왜란과 호란 이후 체제 재정비의 노력과 정치 변동의 모습을 파악한다.
중학교,역사,1~3학년,[9역12-02],조선 후기 문화에서 나타난 변화를 분석한다.
중학교,역사,1~3학년,[9역12-03],조선 후기 사회적 모순에 대한 여러 세력의 대응을 탐구한다.
중학교,역사,1~3학년,[9역13-01],개항 이후 근대 국가를 건설하기 위한 노력을 파악한다.
중학교,역사,1~3학년,[9역13-02],국권 피탈 이후 전개된 민족 운동을 세계사적 관점에서 이해한다.
중학교,역사,1~3학년,[9역13-03],한국의 민주화 과정에서 나타난 성과와 과제를 탐구한다.
중학교,역사,1~3학년,[9역13-04],"지속가능한 사회를 위한 과제를 역사적 맥락에서 탐구하고, 과제 해결에 참여하는 자세를 갖는다."
중학교,도덕,1~3학년,[9도01-01],"자신의 삶과 가치관에 대한 성찰을 통해 자아를 올바로 이해하고, 삶에서 도덕이 필요한 이유에 근거하여 도덕적인 삶에 대한 의지를 기른다."
중학교,도덕,1~3학년,[9도01-02],"일상에서 발생하는 부도덕한 행동의 여러 원인을 분석하고, 도덕적 인격이 갖추어야 할 특성들을 파악하여 이를 내면화하는 의지를 기른다."
중학교,도덕,1~3학년,[9도01-03],"행복에 관한 심리적, 사회적, 윤리적 접근 등을 통해 행복의 의미를 종합적으로 파악하고, 삶의 목적과 행복의 관계를 정립할 수 있다."
중학교,도덕,1~3학년,[9도01-04],"옳고 그름을 분별할 수 있는 도덕적 기준을 탐구하고, 도덕적 상상력을 바탕으로 일상의 도덕 문제들에 도덕적 추론을 적용할 수 있다."
중학교,도덕,1~3학년,[9도01-05],"삶의 유한함에 관한 성찰을 통해 생명의 소중함과 의미 있는 삶의 중요성을 인식하고, 자신의 미래 모습을 상상하며 삶을 계획하고 이를 실천하는 의지를 기른다."
중학교,도덕,1~3학년,[9도01-06],"내면에 대한 성찰을 통해 심리적 고통과 불안, 우울감 등의 원인을 찾고, 마음의 평온을 얻을 수 있는 방안들을 다각적으로 모색하여 실천할 수 있다."
중학교,도덕,1~3학년,[9도01-07],"삶에서 직업이 갖는 의미와 가치를 파악하며, 사례 탐구를 통해 직업적 양심과 직업윤리의 필요성을 정당화할 수 있다."
중학교,도덕,1~3학년,[9도02-01],"정서적, 배려적 공동체로서 가정의 특성과 도덕적 기능을 파악하고, 가정에서 발생하는 갈등을 공감적인 소통과 민주적인 과정을 통해 해소하는 의지를 기른다."
중학교,도덕,1~3학년,[9도02-02],"친구의 의미와 가치를 삶의 맥락 속에서 탐구하고, 서로를 인격적으로 존중하는 친구 관계를 상상하며 이를 실현하는 의지를 기른다."
중학교,도덕,1~3학년,[9도02-03],"가상공간과 현실 세계에 대한 비교⋅분석을 바탕으로 가상공간에서 발생하는 도덕 문제들의 원인과 해결 방안을 제안하고, 타인을 존중하며 가상공간을 활용하는 태도를 함양한다."
중학교,도덕,1~3학년,[9도02-04],"인간을 관계적 존재로 해석할 수 있는 이유에 근거하여 타인과의 관계에서 필요한 가치⋅덕목을 탐구하고, 타인의 생각과 감정에 공감하는 태도를 기른다."
중학교,도덕,1~3학년,[9도02-05],"다양한 갈등 상황을 평화적으로 해결할 수 있는 방안을 모색하고, 폭력의 유형과 원인, 결과에 대한 분석을 바탕으로 일상의 폭력 상황에 대한 대처 능력을 기른다."
중학교,도덕,1~3학년,[9도02-06],"청소년기의 바람직한 성윤리를 탐구하여 내면화하고, 사회⋅문화적 차원에서 성의 의미를 파악하여 성에 대한 편견의 문제점을 분석하고 이를 바로잡는 의지를 기른다."
중학교,도덕,1~3학년,[9도03-01],"인권을 존중해야 하는 도덕적 이유를 정당화하고, 인권 침해 사례에 대한 탐구를 통해 그 원인과 해결 방안을 도출함으로써 인권 감수성을 기른다."
중학교,도덕,1~3학년,[9도03-02],"외집단에 대한 편견을 비판적으로 분석하고, 타문화⋅타종교⋅타인종을 존중해야 하는 이유에 근거하여 차이와 다양성에 대한 열린 마음을 기른다."
중학교,도덕,1~3학년,[9도03-03],"북한에 대한 이해를 바탕으로 분단의 문제점을 분석하고, 도덕적 가치에 기초하여 통일의 의미를 재구성함으로써 바람직한 남북관계 및 통일의 방향을 제안할 수 있다."
중학교,도덕,1~3학년,[9도03-04],"정의로운 사회를 상상해보고, 이를 실현할 수 있는 정의의 원칙과 제도에 대한 다양한 의견들을 민주적인 방식으로 종합할 수 있다."
